,category_code,brand,price
0,electronics.smartphone,xiaomi,211.92
1,electronics.smartphone,samsung,128.42
2,electronics.video.tv,samsung,488.8
3,electronics.audio.subwoofer,nakamichi,123.56
4,construction.tools.welding,magnetta,254.78
5,electronics.video.tv,samsung,488.8
6,electronics.audio.music_tools.piano,cortland,84.94
7,electronics.smartphone,apple,1583.48
8,electronics.smartphone,apple,531.26
9,electronics.smartphone,samsung,128.42
10,computers.desktop,netechnics,772.19
11,electronics.video.tv,samsung,488.8
12,electronics.smartphone,apple,1337.23
13,electronics.smartphone,samsung,242.63
14,electronics.smartphone,apple,532.57
15,electronics.video.tv,samsung,488.8
16,electronics.video.tv,samsung,488.8
17,electronics.smartphone,apple,1348.61
18,electronics.video.tv,samsung,488.8
19,electronics.video.tv,samsung,488.8
20,electronics.smartphone,samsung,242.72
21,electronics.smartphone,samsung,242.72
22,electronics.smartphone,samsung,362.29
23,electronics.video.tv,samsung,488.8
24,appliances.kitchen.microwave,midea,167.11
25,computers.peripherals.printer,hp,38.35
26,computers.desktop,pulser,525.08
27,electronics.audio.headphone,apple,160.57
28,electronics.smartphone,xiaomi,189.97
29,electronics.audio.headphone,xiaomi,22.8
30,electronics.smartphone,samsung,223.95
31,electronics.smartphone,apple,1665.36
32,electronics.smartphone,apple,1013.86
33,electronics.audio.headphone,apple,160.57
34,electronics.smartphone,samsung,128.42
35,electronics.smartphone,apple,1665.36
36,electronics.audio.headphone,apple,160.57
37,construction.tools.welding,hyundai,72.33
38,computers.desktop,sv,195.35
39,electronics.smartphone,samsung,195.06
40,electronics.video.tv,arg,347.49
41,electronics.smartphone,xiaomi,138.71
42,electronics.audio.headphone,samsung,107.45
43,electronics.audio.headphone,jbl,43.73
44,apparel.shoes.keds,puma,100.13
45,construction.tools.generator,tefal,167.29
46,electronics.smartphone,apple,1665.36
47,electronics.clocks,casio,52.2
48,electronics.smartphone,oppo,308.45
49,electronics.smartphone,apple,458.28
50,electronics.smartphone,samsung,242.72
51,apparel.shoes.keds,peak,82.34
52,electronics.smartphone,samsung,717.39
53,electronics.smartphone,apple,749.67
54,electronics.smartphone,samsung,128.42
55,apparel.shoes.keds,asics,51.48
56,appliances.kitchen.blender,braun,48.88
57,electronics.smartphone,apple,776.08
58,electronics.smartphone,xiaomi,142.84
59,electronics.smartphone,samsung,275.25
60,electronics.smartphone,apple,1348.61
61,electronics.smartphone,apple,1003.63
62,electronics.smartphone,samsung,275.25
63,electronics.smartphone,samsung,172.23
64,electronics.audio.headphone,xiaomi,22.8
65,appliances.kitchen.hob,greta,29.16
66,appliances.environment.vacuum,samsung,66.9
67,electronics.smartphone,meizu,69.24
68,electronics.smartphone,samsung,195.06
69,electronics.smartphone,huawei,102.94
70,electronics.smartphone,apple,1348.61
71,electronics.smartphone,samsung,128.42
72,electronics.audio.headphone,apple,160.57
73,furniture.bedroom.bed,stendmebel,176.04
74,electronics.smartphone,samsung,223.95
75,electronics.audio.headphone,apple,160.57
76,electronics.audio.headphone,samsung,107.45
77,electronics.smartphone,apple,749.67
78,electronics.smartphone,oppo,463.28
79,electronics.smartphone,apple,722.4
80,electronics.smartphone,samsung,128.42
81,electronics.audio.headphone,elari,61.65
82,electronics.smartphone,oppo,463.28
83,electronics.smartphone,samsung,362.29
84,electronics.smartphone,oppo,463.28
85,electronics.audio.headphone,apple,160.57
86,electronics.smartphone,apple,949.47
87,electronics.smartphone,apple,949.47
88,electronics.smartphone,xiaomi,212.08
89,computers.notebook,hp,980.46
90,electronics.smartphone,apple,1348.61
91,electronics.smartphone,apple,949.47
92,electronics.smartphone,samsung,275.25
93,electronics.smartphone,samsung,128.42
94,electronics.smartphone,apple,358.31
95,electronics.audio.headphone,apple,160.57
96,electronics.smartphone,apple,458.28
97,electronics.clocks,apple,447.6
98,electronics.smartphone,apple,358.31
99,electronics.smartphone,apple,949.47
100,electronics.smartphone,samsung,128.42
101,appliances.kitchen.blender,scarlett,75.91
102,appliances.kitchen.oven,asel,43.73
103,electronics.audio.headphone,jbl,8.49
104,electronics.smartphone,apple,577.89
105,computers.components.videocards,asrock,224.6
106,appliances.environment.water_heater,ariston,105.7
107,electronics.smartphone,apple,722.4
108,electronics.video.tv,haier,463.31
109,electronics.smartphone,huawei,125.61
110,appliances.environment.vacuum,arnica,225.83
111,electronics.audio.headphone,apple,160.57
112,electronics.smartphone,samsung,275.25
113,electronics.smartphone,apple,1348.61
114,appliances.kitchen.washer,indesit,177.27
115,electronics.smartphone,samsung,128.42
116,electronics.smartphone,samsung,128.42
117,accessories.bag,stayer,25.56
118,electronics.clocks,casio,55.86
119,electronics.clocks,apple,333.08
120,appliances.environment.vacuum,samsung,66.9
121,electronics.smartphone,apple,949.47
122,construction.components.faucet,decoroom,38.28
123,appliances.kitchen.washer,samsung,306.05
124,appliances.kitchen.microwave,hotpoint-ariston,66.9
125,electronics.smartphone,samsung,242.63
126,electronics.smartphone,samsung,229.9
127,electronics.smartphone,apple,1348.61
128,appliances.kitchen.washer,samsung,306.05
129,electronics.smartphone,samsung,643.23
130,electronics.smartphone,xiaomi,269.78
131,electronics.video.tv,artel,146.85
132,appliances.kitchen.washer,lg,308.63
133,electronics.smartphone,samsung,242.63
134,computers.peripherals.monitor,acer,514.79
135,electronics.smartphone,xiaomi,203.09
136,electronics.smartphone,xiaomi,211.92
137,appliances.kitchen.washer,indesit,177.27
138,electronics.smartphone,samsung,242.72
139,electronics.smartphone,xiaomi,203.09
140,electronics.smartphone,xiaomi,203.09
141,electronics.smartphone,oppo,178.87
142,electronics.audio.subwoofer,kenwood,34.75
143,electronics.smartphone,xiaomi,138.71
144,electronics.smartphone,oppo,178.87
145,electronics.clocks,casio,77.63
146,appliances.kitchen.refrigerators,leadbros,168.86
147,electronics.smartphone,apple,1348.61
148,electronics.smartphone,xiaomi,431.4
149,electronics.smartphone,huawei,106.54
150,electronics.video.tv,tcl,251.95
151,electronics.video.tv,lg,406.7
152,electronics.smartphone,samsung,128.42
153,electronics.smartphone,samsung,128.42
154,computers.peripherals.printer,epson,272.54
155,electronics.smartphone,xiaomi,203.09
156,electronics.clocks,samsung,257.87
157,construction.components.faucet,decoroom,30.36
158,electronics.smartphone,apple,458.28
159,electronics.smartphone,samsung,275.25
160,electronics.smartphone,apple,1665.36
161,electronics.smartphone,huawei,164.95
162,electronics.smartphone,xiaomi,308.61
163,electronics.audio.headphone,xiaomi,23.05
164,appliances.environment.vacuum,dauscher,48.37
165,electronics.smartphone,samsung,128.42
166,apparel.shoes,respect,86.23
167,electronics.video.tv,artel,334.11
168,electronics.smartphone,xiaomi,203.09
169,electronics.smartphone,samsung,195.06
170,electronics.video.tv,haier,231.64
171,electronics.audio.headphone,apple,160.57
172,electronics.smartphone,samsung,223.95
173,electronics.smartphone,samsung,128.42
174,electronics.smartphone,apple,722.4
175,electronics.smartphone,apple,722.4
176,construction.tools.drill,bosch,122.14
177,electronics.smartphone,samsung,128.42
178,electronics.clocks,casio,77.63
179,electronics.smartphone,apple,928.18
180,electronics.smartphone,samsung,242.63
181,computers.desktop,acer,874.93
182,electronics.smartphone,xiaomi,189.97
183,electronics.smartphone,samsung,193.26
184,appliances.kitchen.kettle,willmark,7.7
185,electronics.smartphone,apple,465.91
186,computers.desktop,lenovo,977.89
187,electronics.smartphone,apple,722.4
188,electronics.video.tv,samsung,411.59
189,construction.tools.drill,dewalt,377.04
190,electronics.smartphone,samsung,139.64
191,electronics.smartphone,xiaomi,308.61
192,electronics.tablet,samsung,110.36
193,electronics.smartphone,xiaomi,135.01
194,electronics.smartphone,samsung,242.63
195,electronics.tablet,samsung,110.36
196,electronics.smartphone,xiaomi,94.7
197,electronics.smartphone,apple,949.47
198,electronics.smartphone,apple,949.47
199,electronics.audio.headphone,apple,160.57
200,computers.desktop,zeta,118.01
201,electronics.audio.headphone,olmio,39.3
202,electronics.tablet,samsung,110.36
203,electronics.smartphone,apple,577.89
204,appliances.kitchen.washer,samsung,398.95
205,electronics.audio.headphone,apple,160.57
206,apparel.shoes,etor,100.39
207,electronics.tablet,apple,411.54
208,electronics.smartphone,oppo,178.87
209,electronics.smartphone,oppo,178.87
210,electronics.smartphone,apple,458.28
211,appliances.kitchen.microwave,electrolux,154.16
212,computers.notebook,msi,1549.07
213,electronics.audio.headphone,apple,188.94
214,electronics.smartphone,xiaomi,212.1
215,electronics.smartphone,samsung,172.23
216,electronics.audio.headphone,apple,257.38
217,electronics.smartphone,samsung,172.23
218,accessories.bag,picard,115.83
219,electronics.smartphone,apple,1013.86
220,appliances.personal.scales,huawei,30.34
221,electronics.smartphone,samsung,275.25
222,electronics.smartphone,samsung,128.42
223,electronics.smartphone,xiaomi,203.09
224,electronics.smartphone,tp-link,71.82
225,accessories.wallet,picard,45.05
226,electronics.smartphone,samsung,128.42
227,electronics.smartphone,samsung,229.9
228,computers.notebook,acer,682.09
229,appliances.environment.water_heater,ariston,105.7
230,appliances.kitchen.hood,oasis,97.79
231,electronics.smartphone,huawei,952.15
232,electronics.audio.headphone,apple,160.57
233,electronics.smartphone,xiaomi,212.08
234,electronics.smartphone,oppo,257.38
235,electronics.audio.headphone,apple,160.57
236,electronics.smartphone,huawei,230.93
237,electronics.smartphone,samsung,128.42
238,electronics.smartphone,samsung,275.25
239,appliances.environment.water_heater,ariston,105.7
240,appliances.kitchen.washer,samsung,424.7
241,electronics.audio.headphone,apple,160.57
242,electronics.smartphone,samsung,139.68
243,appliances.kitchen.washer,indesit,205.67
244,electronics.smartphone,samsung,139.68
245,electronics.smartphone,xiaomi,140.82
246,electronics.smartphone,apple,949.47
247,electronics.smartphone,xiaomi,189.97
248,electronics.video.tv,samsung,488.8
249,electronics.telephone,nokia,56.29
250,electronics.smartphone,apple,949.47
251,electronics.smartphone,apple,1348.61
252,electronics.smartphone,samsung,128.42
253,electronics.smartphone,xiaomi,203.09
254,electronics.smartphone,samsung,229.9
255,electronics.audio.headphone,samsung,43.43
256,electronics.audio.headphone,apple,188.94
257,electronics.telephone,texet,28.0
258,electronics.tablet,samsung,154.16
259,electronics.smartphone,huawei,91.61
260,electronics.video.tv,samsung,369.45
261,electronics.smartphone,apple,949.47
262,electronics.smartphone,samsung,128.42
263,furniture.kitchen.chair,fly,17.25
264,computers.peripherals.monitor,acer,227.03
265,electronics.smartphone,oppo,256.74
266,electronics.video.tv,artel,334.11
267,electronics.video.tv,artel,334.11
268,appliances.kitchen.refrigerators,bosch,520.57
269,electronics.smartphone,samsung,771.94
270,electronics.smartphone,apple,976.82
271,electronics.smartphone,xiaomi,281.71
272,electronics.smartphone,huawei,125.61
273,electronics.smartphone,samsung,172.23
274,electronics.smartphone,apple,823.16
275,electronics.smartphone,apple,977.3
276,electronics.video.tv,samsung,488.8
277,electronics.smartphone,apple,531.26
278,electronics.smartphone,apple,973.41
279,appliances.environment.vacuum,bosch,218.77
280,electronics.smartphone,samsung,139.68
281,computers.notebook,acer,751.27
282,electronics.audio.headphone,xiaomi,22.8
283,appliances.personal.massager,vitek,43.98
284,appliances.kitchen.coffee_machine,vinzer,21.6
285,apparel.shoes,respect,62.81
286,electronics.smartphone,apple,1348.61
287,electronics.smartphone,samsung,900.64
288,electronics.smartphone,samsung,131.53
289,electronics.smartphone,xiaomi,178.9
290,computers.desktop,zeta,90.44
291,electronics.audio.headphone,xiaomi,22.8
292,electronics.smartphone,xiaomi,203.09
293,electronics.smartphone,apple,458.28
294,appliances.environment.water_heater,haier,64.17
295,apparel.shoes,respect,86.23
296,electronics.smartphone,apple,949.47
297,electronics.smartphone,samsung,229.9
298,computers.desktop,microlab,22.2
299,appliances.kitchen.blender,polaris,36.01
300,electronics.video.tv,sony,1860.69
301,electronics.video.tv,haier,180.16
302,electronics.smartphone,apple,591.25
303,electronics.video.tv,samsung,488.8
304,electronics.clocks,samsung,290.82
305,electronics.smartphone,apple,358.31
306,electronics.smartphone,samsung,139.68
307,computers.components.videocards,gigabyte,363.15
308,electronics.smartphone,xiaomi,189.97
309,electronics.smartphone,apple,722.4
310,electronics.smartphone,xiaomi,385.85
311,electronics.smartphone,samsung,139.64
312,electronics.smartphone,samsung,172.22
313,electronics.audio.headphone,apple,30.84
314,electronics.audio.headphone,elari,61.65
315,electronics.smartphone,huawei,125.61
